name,reviewCount,rating,published,title,content,brand,contentclean,sscore,gender,ts,year,month,weekday
Mutant,7.0,55,2020-11-17,Bestilte en kaffemaskine og den kom…,Bestilte en kaffemaskine og den kom dagen efter. Lige efter bogen.,Elgiganten,Bestilte en kaffemaskine og den kom dagen efter. Lige efter bogen.,0.21875000000000017,Ukendt,2020-11-17,2020,11,1
Nils-Jørn Juul Stærmose,26.0,55,2021-03-08,Fin service,Fin service ved ombytning af vare - ingen problemer der!,Elgiganten,Fin service ved ombytning af vare - ingen problemer der!,3.311414999999998,M,2021-03-08,2021,3,0
Sarah  Roed,7.0,15,2021-08-18,Det har nu taget mig en måned at få fat…,"Det har nu taget mig en måned at få fat i en neonate babyalarm.Jeg er i Elgiganten Randers d. 31. Juli for at købe en babyalarm, da jeg har termin 27. August. Den er desværre udsolgt, men får besked på at den vil komme på lager igen d. 3. August. 3. August kommer jeg forbi ved middagstid, hvor det viser sig at selvsamme baby alarm er ugens aktuelle tilbud, men der er lastbilen med varer desværre ikke kommet endnu. Den søde ekspedient fortæller at hun kan reservere en til mig og så vil jeg få besked ligeså snart de har pakket varen ud. Jeg skal dog betale en del af beløbet. Jeg betaler det hele.Da jeg så fredag d. 6. August ikke har hørt noget. Ringer jeg til Elgiganten, her kommer jeg gennem sløfen og får en mekanisk besked om at min levering ligger klar fra 3. August 2021. Jeg tænker de nok har glemt at sende besked og køre derud, men der er stadig ikke kommet nogen Neonate babyalarm. De kan dog ringe til Tilst og reservere en til mig, men det er ikke sikkert de kan komme igennem. Ellers kan de se der er en levering af fire enheder tirsdag d. 10. August. Jeg tænker at så kan jeg godt vente til tirsdag. Det kan ikke ske to gange at der mangler levering. D. 13. August har jeg stadig intet hørt og køre derfor til Elgiganten igen, her fortæller de at de desværre ikke kan udlevere før 24. August. Det synes jeg er for tæt på termin og spørger om de kan reservere den i en af de andre butikker så vil jeg hente der. Der er dog kun alarmer på Sjælland. Ekspedienten er sød og skynder sig at lave min ordre om, så jeg får den tilsendt til adressen senest d. 20. August. Nu har jeg idag d. 18. August for første gang modtaget en besked, hvor i der står at min ordre er forsinket og først kan komme 27. August. Jeg har derfor penge ude at flyve på en vare, jeg er ved at tvivle på kommer og har måtte bestille et andet sted fra. Dette er ikke en kritik af Randers da de har hjulpet mig med de oplysninger de har haft, men af hele giganten at de ikke har mere styr på lagertal og kundebestillinger Det er seriøst dårlig service, så sig dog der er udsolgt, så jeg kunne bestille et andet sted fra og ikke skal holde i uvished en hel måned.",Elgiganten,"Det har nu taget mig en måned at få fat i en neonate babyalarm.Jeg er i  Randers d. 31. Juli for at købe en babyalarm, da jeg har termin 27. August. Den er desværre udsolgt, men får besked på at den vil komme på lager igen d. 3. August. 3. August kommer jeg forbi ved middagstid, hvor det viser sig at selvsamme baby alarm er ugens aktuelle tilbud, men der er lastbilen med varer desværre ikke kommet endnu. Den søde ekspedient fortæller at hun kan reservere en til mig og så vil jeg få besked ligeså snart de har pakket varen ud. Jeg skal dog betale en del af beløbet. Jeg betaler det hele.Da jeg så fredag d. 6. August ikke har hørt noget. Ringer jeg til , her kommer jeg gennem sløfen og får en mekanisk besked om at min levering ligger klar fra 3. August 2021. Jeg tænker de nok har glemt at sende besked og køre derud, men der er stadig ikke kommet nogen Neonate babyalarm. De kan dog ringe til Tilst og reservere en til mig, men det er ikke sikkert de kan komme igennem. Ellers kan de se der er en levering af fire enheder tirsdag d. 10. August. Jeg tænker at så kan jeg godt vente til tirsdag. Det kan ikke ske to gange at der mangler levering. D. 13. August har jeg stadig intet hørt og køre derfor til  igen, her fortæller de at de desværre ikke kan udlevere før 24. August. Det synes jeg er for tæt på termin og spørger om de kan reservere den i en af de andre butikker så vil jeg hente der. Der er dog kun alarmer på Sjælland. Ekspedienten er sød og skynder sig at lave min ordre om, så jeg får den tilsendt til adressen senest d. 20. August. Nu har jeg idag d. 18. August for første gang modtaget en besked, hvor i der står at min ordre er forsinket og først kan komme 27. August. Jeg har derfor penge ude at flyve på en vare, jeg er ved at tvivle på kommer og har måtte bestille et andet sted fra. Dette er ikke en kritik af Randers da de har hjulpet mig med de oplysninger de har haft, men af hele giganten at de ikke har mere styr på lagertal og kundebestillinger Det er seriøst dårlig service, så sig dog der er udsolgt, så jeg kunne bestille et andet sted fra og ikke skal holde i uvished en hel måned.",0.05744152046783614,F,2021-08-18,2021,8,2
ANDERS ,6.0,15,2021-05-17,Ingen penge retur!,"Fik bestilt/købt forkerte cromecast og kundeservice anbefalede vi bare skulle undlade at hente pakken. Fint nok. Men det er IKKE FINT NOK at vi her mere end TO MÅNEDER efter stadig ikke har fået pengene retur! Tænk hvis det var modsat, så var der gået inkasso på.. men det eneste vi får er en søforklaring og ingen penge 👎",Elgiganten,"Fik bestilt/købt forkerte cromecast og kundeservice anbefalede vi bare skulle undlade at hente pakken. Fint nok. Men det er IKKE FINT NOK at vi her mere end TO MÅNEDER efter stadig ikke har fået pengene retur! Tænk hvis det var modsat, så var der gået inkasso på.. men det eneste vi får er en søforklaring og ingen penge 👎",-0.44701106976562516,M,2021-05-17,2021,5,0
A. Petersen,32.0,45,2019-12-27,God handel,"Næsten problemfrit. Man skal fremvise ordrekvitteringen, som åbenbart ikke var gældende alligevel. Problemet blev dog løst og I fandt min pakke.",Elgiganten,"Næsten problemfrit. Man skal fremvise ordrekvitteringen, som åbenbart ikke var gældende alligevel. Problemet blev dog løst og I fandt min pakke.",-0.8333333333333327,Ukendt,2019-12-27,2019,12,4
Freja,14.0,15,2021-12-10,Mangelfuld levering,"Bestilte en vaskemaskine d 7/11, da den skulle leveres stod der pludselig levering 11/12. Da vi kom til ugen, kunne de pludselig først levere efter d 14/12. Så ringe, når man har planlagt efter det og ventet over 1 måned på en vaskemaskine. Og nu er den så udskudt yderligere til 17/12. Spændende om man modtager den på den her side af jul. Endnu en gang udskudt tul d 21/12. Seriøst fup og svindel. Og man kan ikke komme igennem tid deres kundeservice",Elgiganten,"Bestilte en vaskemaskine d 7/11, da den skulle leveres stod der pludselig levering 11/12. Da vi kom til ugen, kunne de pludselig først levere efter d 14/12. Så ringe, når man har planlagt efter det og ventet over 1 måned på en vaskemaskine. Og nu er den så udskudt yderligere til 17/12. Spændende om man modtager den på den her side af jul. Endnu en gang udskudt tul d 21/12. Seriøst fup og svindel. Og man kan ikke komme igennem tid deres kundeservice",0.08148148148148149,F,2021-12-10,2021,12,4
Suzi,3.0,55,2021-02-15,Nemt at bestille på nettet,"Nemt at bestille på nettet. Lidt ventetid på varen. Varen var forsinket, blev orienteret via SMS 2 dage efter varen skulle været ankommet. Varen kom dagen efter og dagen efter igen kom del 2 af dwt bestilte. Alt i alt ikke noget at klage over. Bestiller gerne igen 🙂",Elgiganten,"Nemt at bestille på nettet. Lidt ventetid på varen. Varen var forsinket, blev orienteret via SMS 2 dage efter varen skulle været ankommet. Varen kom dagen efter og dagen efter igen kom del 2 af dwt bestilte. Alt i alt ikke noget at klage over. Bestiller gerne igen 🙂",0.32564102564102543,Ukendt,2021-02-15,2021,2,0
Mikkel Drejer Bertelsen,10.0,15,2021-01-26,Jeg bryder mig ikke om at skulle…,"Jeg bryder mig ikke om at skulle vurdere salgsoplevelsen bare fordi jeg har købt et enkelt produkt. Den virkelige service ligger hos de medier og mennesker som tager sig tid til og prøver at leve af at anmelde produkterne, så jeg har en ide om hvad jeg skal købe. Jeres service var ok, men den forringes af at jeg skal spørges om hvordan oplevelsen var. Den var fin. Mit dankort virkede. I havde produktet på lager. Min bil ville gerne starte og køre mig hen til jeres varehus.",Elgiganten,"Jeg bryder mig ikke om at skulle vurdere salgsoplevelsen bare fordi jeg har købt et enkelt produkt. Den virkelige service ligger hos de medier og mennesker som tager sig tid til og prøver at leve af at anmelde produkterne, så jeg har en ide om hvad jeg skal købe. Jeres service var ok, men den forringes af at jeg skal spørges om hvordan oplevelsen var. Den var fin. Mit dankort virkede. I havde produktet på lager. Min bil ville gerne starte og køre mig hen til jeres varehus.",0.3189351851851849,M,2021-01-26,2021,1,1
Mathias Bak Dinesen,3.0,15,2020-07-05,Dårlig sporing af forsendelser,Dato for oplevelse: 05. juli 2020,Elgiganten,Dato for oplevelse: 05. juli 2020,0.666666666666667,M,2020-07-05,2020,7,6
Albert Skorstengaard,24.0,25,2019-11-20,Fejlfyldt produkt sendt.,"De har sendt mig en demovare som beskrevet med små skræmmer,Det ser ud til at skærmen har været skiftet, og rammen til den er skæv, så den lukker ikke tæt sammen.Windows på computeren laver blue screen error og skal genstartes gang på gang for at have minimal effekt, og det er sket flere gange at den bare har sat sig fast uden respons fra touchpad eller tastatur.Jeg har haft computeren på nuværende tidspunkt i under 24 timer.Eneste papir der fulgte med i kassen var en kvittering for at harddisken var formateret.OPDATERING:Der er hurtig service fra Elgigantens side, det trækker op, men gør det ikke helt ud for at der er udsendt et så fejlbehæftet produkt.",Elgiganten,"De har sendt mig en demovare som beskrevet med små skræmmer,Det ser ud til at skærmen har været skiftet, og rammen til den er skæv, så den lukker ikke tæt sammen.Windows på computeren laver blue screen error og skal genstartes gang på gang for at have minimal effekt, og det er sket flere gange at den bare har sat sig fast uden respons fra touchpad eller tastatur.Jeg har haft computeren på nuværende tidspunkt i under 24 timer.Eneste papir der fulgte med i kassen var en kvittering for at harddisken var formateret.OPDATERING:Der er hurtig service fra Elgigantens side, det trækker op, men gør det ikke helt ud for at der er udsendt et så fejlbehæftet produkt.",0.021909465020575832,M,2019-11-20,2019,11,2
Michael Hemmingsen,2.0,35,2021-02-09,Levering,"På hjemmesiden oplyses at der er 8 på lager og varen kan leveres inden for 1-3 hverdage. 4 dage senere får jeg en besked om at varen FORVENTES at kunne leveres 17 dage senere, altså 3 uger fra bestillings datoen. Ikke i orden når de oplyser at varen er på lager.",Elgiganten,"På hjemmesiden oplyses at der er 8 på lager og varen kan leveres inden for 1-3 hverdage. 4 dage senere får jeg en besked om at varen FORVENTES at kunne leveres 17 dage senere, altså 3 uger fra bestillings datoen. Ikke i orden når de oplyser at varen er på lager.",0.325242424242423,M,2021-02-09,2021,2,1
Gitte Nørskov,2.0,25,2021-04-15,fik lovet kabel som ikke fandtes,"Varen var ikke klar, men jeg fik den hurtigt inde i butikken. En medarbejder lovede mig at der var kabel til tilslutning til pc i kassen, hvis man ikke ville printe trådløst. Det var der ikke.",Elgiganten,"Varen var ikke klar, men jeg fik den hurtigt inde i butikken. En medarbejder lovede mig at der var kabel til tilslutning til pc i kassen, hvis man ikke ville printe trådløst. Det var der ikke.",0.6967592592592594,F,2021-04-15,2021,4,3
Lisbet Risum Sørensen,4.0,55,2020-04-14,Meget tilfreds😊,Dato for oplevelse: 14. april 2020,Elgiganten,Dato for oplevelse: 14. april 2020,0.5,F,2020-04-14,2020,4,1
william,1.0,25,2020-01-10,kunne ikke annullere 5 min efter…,kunne ikke annullere 5 min efter bestilling,Elgiganten,kunne ikke annullere 5 min efter bestilling,1.1666666666666685,M,2020-01-10,2020,1,4
Poul-Erik,16.0,55,2021-03-19,Det var en god oplevelse både at…,Det var en god oplevelse både at bestille og det blev hurtig leveret og alt var som aftalt,Elgiganten,Det var en god oplevelse både at bestille og det blev hurtig leveret og alt var som aftalt,1.6458333333333317,M,2021-03-19,2021,3,4
Benny Pieszak,65.0,55,2019-12-17,OK kundeservice.,"Noget sløv med at skaffe varer hjem, men perfekt kundeservice.",Elgiganten,"Noget sløv med at skaffe varer hjem, men perfekt kundeservice.",1.5312500000000016,M,2019-12-17,2019,12,1
Caroline ,5.0,55,2020-01-17,Hjemmesiden er god og overskuelig,"Hjemmesiden er god og overskuelig. Rigtig flinkt og rart personale i butikken Køge), da jeg skulle afhente min ordre. God oplevelse. anbefalelsesværdigt",Elgiganten,"Hjemmesiden er god og overskuelig. Rigtig flinkt og rart personale i butikken Køge), da jeg skulle afhente min ordre. God oplevelse. anbefalelsesværdigt",1.6666666666666643,F,2020-01-17,2020,1,4
Henrik Høyer,46.0,15,2021-01-26,48 timers ventetid på en simpel DOA sag,"Købte et TV på deres webshop. Det blev leveret efter 4 dage med et et panel der var ødelagt under transporten.Kontakt til kundeservice resulterede i standardsvaret ""du skal oprette det som en reklamation på vores hjemmeside, og du hører så fra os om ca 48 timer"".Varen er DOA og der skal fremsendes en ny - men det kan deres kundeservice ikke klare, man skal afvente et opkald fra en tekniker (som har 48 timers responstid)Opdatering: Jeg har nu (26. januar) endelig fået pengene retur - det har således taget el-giganten næsten en måned at håndtere en simpel DOA sag, suk...",Elgiganten,"Købte et TV på deres webshop. Det blev leveret efter 4 dage med et et panel der var ødelagt under transporten.Kontakt til kundeservice resulterede i standardsvaret ""du skal oprette det som en reklamation på vores hjemmeside, og du hører så fra os om ca 48 timer"".Varen er DOA og der skal fremsendes en ny - men det kan deres kundeservice ikke klare, man skal afvente et opkald fra en tekniker (som har 48 timers responstid)Opdatering: Jeg har nu (26. januar) endelig fået pengene retur - det har således taget el-giganten næsten en måned at håndtere en simpel DOA sag, suk...",0.1896574074074072,M,2021-01-26,2021,1,1
Jan Kjellerup,20.0,55,2020-07-09,Jeg købte en mobil telefon on line,"Jeg købte en mobil telefon on line, og den kom hurtigt. Den var pakket godt ind, ingen transport skader, og til en god pris.",Elgiganten,"Jeg købte en mobil telefon on line, og den kom hurtigt. Den var pakket godt ind, ingen transport skader, og til en god pris.",1.4375000000000004,M,2020-07-09,2020,7,3
Jørgen Larsen,2.0,15,2020-05-25,den 10 maj køber jeg en fryser,den 10 maj køber jeg en frysermed levering den 1. Juni bliver så ændret til den 6.juniog nu til den 13. Juniog hvad bliver så den næste datodet er ikke i orden. ordrenummer 83508688,Elgiganten,den 10 maj køber jeg en frysermed levering den 1. Juni bliver så ændret til den 6.juniog nu til den 13. Juniog hvad bliver så den næste datodet er ikke i orden. ordrenummer 83508688,0.11904761904761885,M,2020-05-25,2020,5,0
Heike ,2.0,25,2019-10-16,dårlig reparations service!,"Halvanden måned om at finde ud af en reparation var en ombytning. Blev lovet det ville tage 8-10 hverdage. Og jeg måtte selv ringe flere gange for at få opdateringer. Da de endelig giver en ombytning finder jeg ud af at tv’et ikke laves mere, tiltrods for at jeg har haft ringer til kundeservice for at sikre mig jeg kunne få det med hjem med det samme. Det eneste positive er at det fulde beløb blev refunderet tiltrods for at det var næsten 2 år gammelt.",Elgiganten,"Halvanden måned om at finde ud af en reparation var en ombytning. Blev lovet det ville tage 8-10 hverdage. Og jeg måtte selv ringe flere gange for at få opdateringer. Da de endelig giver en ombytning finder jeg ud af at tv’et ikke laves mere, tiltrods for at jeg har haft ringer til kundeservice for at sikre mig jeg kunne få det med hjem med det samme. Det eneste positive er at det fulde beløb blev refunderet tiltrods for at det var næsten 2 år gammelt.",0.6500000000000004,Ukendt,2019-10-16,2019,10,2
Gerda Holck,73.0,45,2020-03-06,Leveret til tiden..,"Ved modtagelse af opvaskemaskine havde den en skade, der blev afhjulpet. Havde betalt for installation, men chauffører, havde ikke Det fornødne med, idet der var fejl på vandtilførsel. Der kan betales for div.til chauffør ..!l  ?? Men jeg måtte ha` en VVS til hjælp.Endelig kom ny opvaskemaskine på plads, virkede , men efterfølgende hang der en sort gummidug ud..., så måtte en anden handyman på banen. Det var således med blandede følelser...!!Har fornylig modtaget nyt TV fra Elgiganten.., det gik fint.Efter `turbulens` er jeg blevet super glad for mit seneste køb..😊",Elgiganten,"Ved modtagelse af opvaskemaskine havde den en skade, der blev afhjulpet. Havde betalt for installation, men chauffører, havde ikke Det fornødne med, idet der var fejl på vandtilførsel. Der kan betales for div.til chauffør ..!l  ?? Men jeg måtte ha` en VVS til hjælp.Endelig kom ny opvaskemaskine på plads, virkede , men efterfølgende hang der en sort gummidug ud..., så måtte en anden handyman på banen. Det var således med blandede følelser...!!Har fornylig modtaget nyt TV fra .., det gik fint.Efter `turbulens` er jeg blevet super glad for mit seneste køb..😊",1.5669764171228548,F,2020-03-06,2020,3,4
Alice Kelly,6.0,55,2020-02-06,Super vejledning fra kundemedarbejder,"Super vejledning fra kundemedarbejder! Varen kompræcist som aftalt, så jeg er meget tilfreds og vil bestemt handle hos Elgiganten igen",Elgiganten,"Super vejledning fra kundemedarbejder! Varen kompræcist som aftalt, så jeg er meget tilfreds og vil bestemt handle hos  igen",2.413847249999999,F,2020-02-06,2020,2,3
Jan Heigren,20.0,45,2019-08-06,Ikke noget at komme efter,Jeg har handlet hos jer flere gange med succes.Man kan også komme i kontakt med jer på telefonen uden det store bøvl. Så min vurdering god er velfortjent.,Elgiganten,Jeg har handlet hos jer flere gange med succes.Man kan også komme i kontakt med jer på telefonen uden det store bøvl. Så min vurdering god er velfortjent.,0.8535353535353534,M,2019-08-06,2019,8,1
Michael Carlsen,2.0,15,2021-01-17,Bestilte en dongle til min nye mac…,"Bestilte en dongle til min nye mac mini. 11 dage senere har jeg stadig ikke modtaget den. Fantastisk. Det tog 6 dage før dek blev sendt afsted, stadig ikke modtaget. Ikke bestil fra Elgigantens samarbejdes partnere da det åbenbart tager lang tid at bare at sende det afsted, selvom det står som på lager. Skuffet.",Elgiganten,"Bestilte en dongle til min nye mac mini. 11 dage senere har jeg stadig ikke modtaget den. Fantastisk. Det tog 6 dage før dek blev sendt afsted, stadig ikke modtaget. Ikke bestil fra Elgigantens samarbejdes partnere da det åbenbart tager lang tid at bare at sende det afsted, selvom det står som på lager. Skuffet.",-0.2973856209150328,M,2021-01-17,2021,1,6
Irene Ilsøe,13.0,15,2023-04-11,Eneste som ikke gav problemer var betalingen,"Ville lave en click og collect med varer som er på lager i den valgte butik, det var så ikke muligt. Så måtte ringe og få hjælp, her opgav jeg alle oplysninger. Til trods for det er der problemer med alt, på nær da de skulle have penge, så kan ikke blive til mere end 1 stjerne herfra.",Elgiganten,"Ville lave en click og collect med varer som er på lager i den valgte butik, det var så ikke muligt. Så måtte ringe og få hjælp, her opgav jeg alle oplysninger. Til trods for det er der problemer med alt, på nær da de skulle have penge, så kan ikke blive til mere end 1 stjerne herfra.",0.06349206349206336,F,2023-04-11,2023,4,1
henrik martinussen,4.0,25,2019-12-26,fik det forkerte ps4 spil tilsendt til…,fik det forkerte ps4 spil tilsendt til jul.,Elgiganten,fik det forkerte ps4 spil tilsendt til jul.,0.1875,M,2019-12-26,2019,12,3
Sara Fatahi,2.0,15,2021-12-14,Snyd snyd og atter snyd,"Efter over en måneds ventetid har jeg fået nok. Sidste måned kommer vi ind i butikken på Nørrebrogade for at købe en mobil med abonnement hos Yousee. Det kan vi ikke få lov til, og får af vide at abonnementet selvfølgelig bliver annulleret med det samme. Vi får senere samme dag sms’er fra Yousee om at tlf nummeret bliver rykket derover, og derfor tager vi dagen efter i Elgiganten igen, for at sikre os af det er annulleret. Medarbejderen bekræfter at det blev annulleret med det samme. Efter noget tid får vi fortsat sms’er og vælger derfor at kontakte Yousee som siger at Elgiganten slet ikke har annulleret abonnementet. Jeg kontakter så Elgiganten flere gange i løbet af flere uger og får hele tiden besked på at NU har vi annulleret det. Vi har stået uden simkort i ALT for længe nu, fået regning fra Yousee og problemet er stadig ikke fikset ! Her senest fik jeg af vide i lørdags, at jeg ville blive ringet op af en medarbejder dagen efter, men nu det mandag aften, og jeg er stadig ikke blevet kontaktet. Katastrofalt. Jeg er blevet løget direkte op i ansigtet alt for mange gange, og det burde SLET ikke kræve så meget at få annulleret noget man slet ikke ville have.Jeg har ikke fået ordre nr. eller noget som helst, men det drejer sig om tlf. nr. 31741678. Alt alt for dårligt at man skal kontakte jer 10+ gange og det stadig ikke er faldet på plads ! Ikke okay at min bror skal rende rundt uden simkort så længe pga en kæmpe fejl fra jeres side.Opdatering svar:Du kan ikke kontakte mig på det tlf nr når vi ikke har fået noget simkort😅. Skal kontaktes på 42459253.",Elgiganten,"Efter over en måneds ventetid har jeg fået nok. Sidste måned kommer vi ind i butikken på Nørrebrogade for at købe en mobil med abonnement hos Yousee. Det kan vi ikke få lov til, og får af vide at abonnementet selvfølgelig bliver annulleret med det samme. Vi får senere samme dag sms’er fra Yousee om at tlf nummeret bliver rykket derover, og derfor tager vi dagen efter i  igen, for at sikre os af det er annulleret. Medarbejderen bekræfter at det blev annulleret med det samme. Efter noget tid får vi fortsat sms’er og vælger derfor at kontakte Yousee som siger at  slet ikke har annulleret abonnementet. Jeg kontakter så  flere gange i løbet af flere uger og får hele tiden besked på at NU har vi annulleret det. Vi har stået uden simkort i ALT for længe nu, fået regning fra Yousee og problemet er stadig ikke fikset ! Her senest fik jeg af vide i lørdags, at jeg ville blive ringet op af en medarbejder dagen efter, men nu det mandag aften, og jeg er stadig ikke blevet kontaktet. Katastrofalt. Jeg er blevet løget direkte op i ansigtet alt for mange gange, og det burde SLET ikke kræve så meget at få annulleret noget man slet ikke ville have.Jeg har ikke fået ordre nr. eller noget som helst, men det drejer sig om tlf. nr. 31741678. Alt alt for dårligt at man skal kontakte jer 10+ gange og det stadig ikke er faldet på plads ! Ikke okay at min bror skal rende rundt uden simkort så længe pga en kæmpe fejl fra jeres side.Opdatering svar:Du kan ikke kontakte mig på det tlf nr når vi ikke har fået noget simkort😅. Skal kontaktes på 42459253.",-0.6082617997761979,F,2021-12-14,2021,12,1
Mikele Volpi,1.0,15,2022-11-04,Vil ikke acceptere reklamation,"Har handlet der i mange år og altid været tilfreds. Men nu står man med en reel reklamation som de ikke vil acceptere indenfor de 2 års reklamationsret. Varen kostede 9600kr og Elgiganten vil reparere den for 10600kr. Har prøvet ganske almindelig kommunikation og også været løsning orienteret , men de gemmer sig bag sms og mail og vil ikke acceptere den.Jeg handler blot et andet sted fremover.",Elgiganten,"Har handlet der i mange år og altid været tilfreds. Men nu står man med en reel reklamation som de ikke vil acceptere indenfor de 2 års reklamationsret. Varen kostede 9600kr og  vil reparere den for 10600kr. Har prøvet ganske almindelig kommunikation og også været løsning orienteret , men de gemmer sig bag sms og mail og vil ikke acceptere den.Jeg handler blot et andet sted fremover.",0.621732026143791,Ukendt,2022-11-04,2022,11,4
kirsten christoffersen,16.0,55,2021-06-06,Fuld ud tilfreds med både  bestilling…,Fuld ud tilfreds med både  bestilling samt levering af min vare .,Elgiganten,Fuld ud tilfreds med både  bestilling samt levering af min vare .,1.2916666666666674,F,2021-06-06,2021,6,6
Marianne Jensen,3.0,45,2021-02-23,Køb af printer.,"Køb af printer. Som jeg har anført med stjerner, var min oplevelse god.MEN jeg kan ikke forstå, at det skal tage 1 1/2 måned at få den leveret",Elgiganten,"Køb af printer. Som jeg har anført med stjerner, var min oplevelse god.MEN jeg kan ikke forstå, at det skal tage 1 1/2 måned at få den leveret",0.4843749999999994,F,2021-02-23,2021,2,1
Jane Møller Aagaard,67.0,55,2022-04-01,I december 2021 købte jeg 75 tommer tv…,"I december 2021 købte jeg 75 tommer tv med soundbar i Randers. Har ikke helt været tilfreds med lyden, men det var egen fejl fandt jeg ud af i dag. Tog i Elgiganten i Randers og mødte Gert ! Og han var så fantastisk. Han havde tiden, og viste og fortalte mig, hvad jeg skulle gøre, og det var så godt, at jeg fik ordnet det. Og har den VILDESTE lyd nu ! Er og har altid været trofast kunde i Elgiganten! Men i dag, var godt nok fedt !Fuld hus her fra 🌟🌟🌟🌟🌟",Elgiganten,"I december 2021 købte jeg 75 tommer tv med soundbar i Randers. Har ikke helt været tilfreds med lyden, men det var egen fejl fandt jeg ud af i dag. Tog i  i Randers og mødte Gert ! Og han var så fantastisk. Han havde tiden, og viste og fortalte mig, hvad jeg skulle gøre, og det var så godt, at jeg fik ordnet det. Og har den VILDESTE lyd nu ! Er og har altid været trofast kunde i ! Men i dag, var godt nok fedt !Fuld hus her fra 🌟🌟🌟🌟🌟",1.1908458337500025,F,2022-04-01,2022,4,4
